id,Topo,X,Y,Z,diameter,code1,code2,code3
598,/S2,84.15559355,-5.214127508,28.86333795,0.5,br,,
599,/S3,82.31559355,-3.484127508,28.13333795,0.5,br,,
600,/S4,79.98559355,-1.484127508,26.25333795,0.5,br,,
601,/S5,76.65559355,0.965872492,23.33333795,0.5,br,,
602,/S6,74.34559355,2.705872492,21.10333795,0.5,br,,
603,/S7,69.74559355,4.875872492,16.35333795,0.5,br,8,8 leaves
604,/S8,67.26559355,5.475872492,13.73333795,0.6,apbud,,ap bud
605,/S9,64.78559355,7.065872492,9.563337953,0.1,apbud,,ap bud
606,*^/A1/S1,84.23251165,-6.161322856,26.59095311,0.9,br,,
607,/S2,85.05251165,-5.701322856,26.17095311,0.5,br,,
608,/S3,87.23251165,-4.761322856,23.83095311,0.4,br,,
609,/S4,89.43251165,-3.961322856,21.46095311,0.4,br,,
610,/S5,92.08251165,-3.461322856,18.58095311,0.3,br,,
611,/S6,94.86251165,-3.281322856,14.98095311,0.4,br,8,8 leaves
612,/S7,96.66251165,-3.361322856,12.01095311,0.4,br,,
613,/S8,98.30251165,-2.951322856,9.420953114,0.5,apbud,,ap bud
614,/S9,101.0425117,-0.961322856,5.630953114,0.1,apbud,,ap bud
615,*^/A1/S1,83.95868686,-6.23011591,26.66831316,0.9,br,,
616,/S2,82.78868686,-6.40011591,25.98831316,0.4,br,,
617,/S3,80.54868686,-6.83011591,24.65831316,0.4,br,,
618,/S4,78.18868686,-7.69011591,22.63831316,0.3,br,,
619,/S5,75.44868686,-9.18011591,19.21831316,0.3,br,,
620,/S6,73.31868686,-10.59011591,16.66831316,0.4,br,8,8 leaves
621,/S7,70.09868686,-11.36011591,13.25831316,0.4,br,,
622,/S8,68.80868686,-12.03011591,11.45831316,0.4,apbud,,ap bud
623,/S9,67.19868686,-12.12011591,9.408313158,0.3,apbud,,ap bud
624,/S10,65.62868686,-11.27011591,7.378313158,0.1,apbud,,ap bud
625,*^/A1/S1,131.48,5.18,52.25,2,br,,
626,/S2,132.73,5.84,51.09,0.9,br,,
627,/S3,133.85,5.83,49.36,0.8,br,,
628,/S4,135.38,5.36,47.46,0.7,br,,
629,/S5,136.03,5.03,46.36,0.7,br,,
630,/S6,137.5,3.73,44.42,0.7,br,,
631,/S7,139.98,1.58,42.05,0.8,br,,
632,/S8,141.39,0.02,40.58,1.3,br,,
633,/S9,143.68,-2.17,39.03,0.9,br,,
634,/S10,145.08,-3.79,38.2,0.8,br,,
635,/S11,145.93,-4.84,37,0.8,br,,
636,/S12,146.47,-5.5,36.56,0.8,br,,
637,/S13,146.95,-6.69,35.95,0.9,br,,
638,/S14,147.33,-7.38,34.85,0.7,br,10,10 leaves
639,/S15,147.47,-8.29,33.39,0.6,apbud,,ap bud
640,/S16,147.03,-8.91,30.97,0.4,apbud,,ap bud
641,/S17,146.26,-9.97,27.88,0.1,apbud,,ap bud
642,*^/A1/S1,147.08,-6.96,35.74,0.9,br,,
643,/S2,147.48,-7.75,35.53,0.5,br,,
644,/S3,147.61,-9.78,36.02,0.4,br,,
645,/S4,148.1,-11.58,35.63,0.4,br,,
646,/S5,148.48,-13.85,35.02,0.4,br,,
647,/S6,148.85,-15.44,34.44,0.5,br,,
648,/S7,149.52,-16.8,33.82,0.6,br,8,8 leaves
649,/S8,150,-17.93,33.2,0.6,apbud,,ap bud
650,/S9,150.3,-19.28,31.79,0.4,apbud,,ap bud
651,/S10,150.82,-20.89,28.96,0.1,apbud,,ap bud
652,*^/A1/S1,128.23,5.12,46.42,2,br,,
653,/S2,128.19,7.32,45.3,1.2,br,,
654,/S3,127.31,10.24,42.58,1,br,,
655,/S4,126.46,13.08,40.06,1.1,br,,
656,/S5,124.32,17.4,35.18,1,br,,
657,/S6,122.43,20.62,31.29,1,br,,
658,/S7,120.36,23.42,26.47,1.2,br,,
659,/S8,119.92,23.8,25.6,1.4,br,,
660,/S9,119.56,24.39,24.83,0.8,br,,
661,/S10,118.67,26.24,21.81,0.8,br,,
662,/S11,117.13,30.77,13.71,0.6,br,,
663,/S12,116.13,33.29,9.84,0.8,br,,
664,/S13,115.61,34.47,7.91,0.9,br,10,10 leaves
665,/S14,115.31,34.83,6.71,0.6,br,,
666,/S15,114.8,35.52,4.45,0.5,apbud,,ap bud
667,/S16,114.11,36.66,1.86,0.3,apbud,,ap bud
668,/S17,113.28,37.15,-1.93,0.1,apbud,,ap bud
669,*^/A1/S1,115.62,34.59,7.42,1,br,,
670,/S2,114.75,33.96,6.92,0.4,br,,
671,/S3,113.65,33.42,6,0.3,br,,
672,/S4,111.11,32.69,3.7,0.3,br,,
673,/S5,108.45,31.9,1.29,0.3,br,8,8 leaves
674,/S6,105.69,31,-1.97,0.4,br,,
675,/S7,103.55,30.67,-3.81,0.5,apbud,,ap bud
676,/S8,100.44,31.13,-6.33,0.1,apbud,,ap bud
677,*^/A1/S1,115.62,34.58,7.73,1,br,,
678,/S2,115.5,35.75,7.94,0.4,br,,
679,/S3,115.59,37.89,7.29,0.4,br,,
680,/S4,115.85,40.58,6.34,0.3,br,,
681,/S5,116.01,42.48,5.24,0.3,br,,
682,/S6,116.31,43.71,3.66,0.4,br,10,10 leaves
683,/S7,116.52,46.44,1.41,0.4,br,,
684,/S8,116.32,48.22,-0.34,0.5,apbud,,ap bud
685,/S9,115.88,50.82,-3.82,0.1,apbud,,ap bud
686,*^/A1/S1,119.95,23.55,26.17,1.3,br,,
687,/S2,120.89,24.17,25.55,0.7,br,,
688,/S3,124.94,26.9,21.92,0.5,br,,
